WIN	WIND
FREY	FACE
MALYSIAN	MALAYSIAN
OKAY	<NOISE>
HUM	EN
ERM	ER
ERM	ER
LAH	I
ITOUCH	TOUCH
LOR	OH
HIERARCHY	HEARKEY
LECTURE	LECTURER
BEAR	GET
RESPONSIBILITIES	RESPONSIBILITY
A	I
THIS	THINK
LAH	AH
EXTEND	EXTENT
OH	ER
OPPORTUNITIES	OPPORTUNITY
TEMP	CAMP
ER	THE
<NOISE>	AH
HUM	EN
HUM	EN
HUM	HMM
YIO	YEA
DUE	DEAL
SIDE	SIDES
ORIENTED	RELATED
LAH	LIKE
THAT'S	IS
MEANTIME	TIME
WANT	WENT
COMPANIES	COMPANY
LAH	AH
YEAH	YA
BEANS	DABIN
SPROUT	SHOP
FRIED	FER
SUNDRIES	SANDIES
SELDOM	THEM
SOMETIME	SOMETIMES
FORK	FOR
UP	OUT
SINGAPORE	SING
MAY	JUST
DUE	MATHEW
COMPETE	COMPLETE
COMPETE	COMPARED
OUT	UP
OUT	UP
PREPAID	PUKET
POSTPAID	POSTWAY
WAR	BALL
OFFER	OFFERED
MEAN	OPPORTUNATE
THE	OF
PREPAID	PREPARE
POSTPAID	BACK
D	T
LOR	LOH
D	QUALITY
<NOISE>	FOREIGNERS
LAH	AH
OH	ER
OR	ER
STUDENT	STUDENTS
STUDENTS	STUDENT
LAH	AH
CRAB	BEE
BEEHOON	HOON
CHILI	V
KACHANG	KAANG
BE	B
SIDE	WEBSITE
LAH	MAH
EM	EN
TOWN	TIME
BAK	PAK
BAK	PARK
PEPPER	LEOPHER
ASSAM	ASAM
ASSAM	ASAM
OVERALL	OVER
LAH	AH
MORE	NOT
MICRON	MICRO
ROTATE	ROTI
IT'S	IS
MACHINERY	MACHINEARY
IT'S	IS
THEORECTICAL	DIRECTOR
FORECAST	FOCUS
MAH	LAH
HOR	OR
LO	ONE
EM	OH
STALL	FIRST
FOOD	FLOOR
CENTRE	CENTER
EN	ER
WALK	WORK
AH	ER
WALK	WORK
JOG	JOB
LAH	SOME
SOMETIME	TIME
BICEPS	TRY
TRICEPS	SET
EM	<NOISE>
YOU	GYM
REMEMBER	MEMBER
ALUMNI	ONLINE
VISTA	MONAISTA
LAH	AH
ADMISSION	ADMISION
