MARK	MUG
TASTE	PACE
TASTE	BASE
AH	ER
WHERE	WHY
OTHELLO	HOTEL
STRATEGIZE	STRATEGYISE
HAH	AH
HAH	HUH
LIKE	THAT
PRECIOUS	QUESTIONS
HAH	HUH
FREQUENCY	REFREQUENCY
HAH	AH
YUP	YA
YEP	YUP
YEP	YA
HAH	HUH
WEIRD	PLAY
MINUTES	MINUTE
SECONDS	SECOND
IS	IT'S
IS	IT'S
IS	IT'S
LIVE	LIFE
HOR	FOR
SEAT	YEAR
ER	ERM
IF	COMPOSES
AM	FROM
WHO	OH
YEP	YUP
IS	SIDE
HEARD	ELSE
PLAYED	PLAY
PART	LEFT
ROW	ROLE
OF	WAS
SEAT	SIT
EIGHTY	THIRTY
GETTING	THE
TOO	TWO
SALIVA	SLIBRSTING
BURSTING	ON
ONTO	TO
HEAD	DON'T
AROUND	KNOW
SEVENTY	THIRTY
SEVENTY	THIRTY
IT	EH
YEAH	YA
HOR	ARE
HAH	HUH
ALPHA	A
EXPECTED	ASPECTED
EN	AH
OF	GOD
COURSE	CAUSE
YEAH	AH
AH	HA
HAH	HA
HAH	HA
HE	YOU
THE	THAT
KNIGHT	NIGHT
BROUGHT	BREAK
REBATE	REBAKE
REBATE	REPEAT
LAH	AH
BUS	PASS
BROKE	BREAK
BROKE	BREAK
WHO	I
IS	WAS
THE	AT
AM	WAS
HAPPENED	HAPPEN
HAH	AH
YEAH	HERE
RUSSELL	⁇
TIME	THEM
THAT	A
NICK	NEXT
EH	HOW
CUPS	CLUB
JARS	SUBJECTS
YEAH	YA
JARS	JOB
BIT	BIG
LAH	AH
ALCO	A
EXTEN	EXTEND
EXTENDED	THE
LET	LET'S
THEN	THAN
ER	ERM
EH	AH
LAH	LIKE
ANIMATE	ANIME
EIGHT	EH
EIGHT	EH
SUNTEC	SOMETHING
O'CLOCK	CLOCK
IN	BOOKING
HAH	HUH
LAH	THEN
YEAH	YA
O	CIVIL
MONOPOLY	POLY
I	ONE
UM	MM
DAYS	DAY
IN	BOOKING
LIVE	LIFE
L	OH
LIVE	LIFE
GOODNESS	GRANT
SAKE	SICK
U	YOU
K	P
KRANI	WENT
IS	THAT'S
YOU	HE
ME	MIC
IS	IT'S
USUALLY	REALLY
HE	THEY
SHOWS	SHOW
ROAD	ROUTE
ROADS	ROSE
HAS	HAVE
PROVIDED	WHETHER
KALLANG	KALANG
KALLANG	KARONG
PAYAR	PAYA
EXPRESSWAY	THE
UNDERNEATH	FOR
PA	BUY
K	AH
THAT	AT
THAT	THE
EH	NOT
NO	THE
NO	DAIRTS
NO	SO
WHICH	IT
STRETCH	IS
OH	LIKE
STRETCH	T
FROM	I
P	THINK
E	THINK
TO	THE
HAS	AND
HAS	IS
THE	LET
AH	UH
HA	HUH
YEAH	YA
REACH	WHICH
TRAVELLED	TRAVEL
TRAVELLED	TRAVEL
STRETCH	SKETCH
FOURTY	FORTY
MA	MIGHT
PUSHING	HIM
LAH	AH
BECAUSE	CAUSE
HAH	MY
COMPLAINT	COMPLAIN
HM	ERM
TWENTY	THIRTY
THAT	THE
EH	AND
HM	HMM
IT	HE
AND	ER
IS	HIS
TYPE	TIME
IT	HE
DON'T	TO
CLIQ	CLICK
HE	P
ASKS	S
ME	B
THE	THAT
HAH	AH
YEAH	FORTY
IT	VERY
IT	AH
IS	IT'S
KANA	CANNOT
KUA	GO
HAH	ANG
ANGMO	MO
FLUENT	FLOAT
FLUENT	FLOAT
LAH	NOW
IS	IT'S
EHSAI	SIGN
BUEHSAI	WHY
IS	THAT'S
TEOCHEW	SAI
EHSAI	OH
BUEHSAI	SAI
BUEHSAI	SAY
<NOISE>	THEN
AI	I
WA	MY
AI	COLLEAGUE
KER	ERM
AND	AT
LAH	AH
YEAH	YA
HA	HUH
IT	THEN
IS	IT'S
ER	AH
YEAH	YA
ER	AH
HAH	AH
DAY	LUFFUT
ER	AH
ER	AH
ER	AH
IS	SHE'S
A	THE
TRADITIONIST	TRADITIONOUS
THAT	IT
ALL	A
BROUGHT	BOUGHT
HAH	ON
<NOISE>	YOUR
YOUR	YEAH
ALREADY	REALLY
RECEIVED	RECEIVE
STATING	STARTING
IS	AS
LIKE	I
FOR	I
PLAN	APPLY
STILL	SIT
NO	DOWN
NEWS	THIS
ALL	OFF
AND	RIGHT
FRIDAY	THEY
NO	KNOW
STATING	LETTERING
TIMETABLE	AH
THE	THAT
WAY	DAY
IT	HAVE
BIT	VERY
PLAN	PLAY
THE	MY
TRY	TRYING
PICK	HITS
IT	CLASSIOUS
IS	AND
ALWAYS	THEN
CLASHES	I
WITH	SEE
SOME	THE
THINGS	WHY
IT	I
IS	AM
LET	THAT'S
SAY	LIKE
COURSE	OF
A	THING
B	STUFF
TRY	TRYING
EVERYTHING	HAVE
MONDAY	FIND
CAUSE	WHAT
LIKE	IT
ALWAYS	IS
ALWAYS	WHAT
EITHER	I
EITHER	HAVE
TIMETABLE	TABLE
WHEN	WANT
EXAMINATION	TABLE
TIMETABLE	I
THE	AMBITION
EXAMINATION	TIME
TIMETABLE	TABLE
CLASHES	CLASSES
IS	THAT'S
I	MUST
SUPPOSE	SUPPOSED
ER	PRE
PREREQUIS	REQUEST
A	PLAY
PREREQUIS	REQUEST
LAH	AH
I	ARE
LET	LET'S
CLEARED	CLEAR
LAH	AH
DOING	THE
ANYTHING	EVERYTHING
YEP	YA
BRICKS	BREAK
OUR	YOUR
FOUNDATION	FORMATION
LAH	AH
THAT	ONE
IS	THAT'S
LAH	LA
LET	LET'S
QUESTION	QUESTIONS
WRONG	AROUND
IT	THIS
IT	THIS
IS	IT'S
LAH	AH
YOU	WILL
LAH	LA
THEY	THIS
ANALOGUE	ANALOG
LAH	AH
SADLY	SUDDENLY
HAVE	HAS
CONFIGURED	DIFFICULT
SIGNAL	SINGAPORE
STOP	TALK
THE	ABOUT
LOR	WHAT
YOU	I
DESTROYING	DISTRAYING
THEIR	THE
